2020-10-08 21:58:32.442 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$2ec407ed] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-10-08 21:58:34.598 [main] INFO  com.ns.EurekaApplication - No active profile set, falling back to default profiles: default
2020-10-08 21:58:37.491 [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-10-08 21:58:38.181 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=3b2389f2-ec85-3bc8-82ff-7da87a476265
2020-10-08 21:58:38.602 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$2ec407ed] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-10-08 21:58:44.484 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8761 (http)
2020-10-08 21:58:44.789 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8761"]
2020-10-08 21:58:44.921 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-10-08 21:58:44.923 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.26]
2020-10-08 21:58:45.869 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-10-08 21:58:45.870 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 11221 ms
2020-10-08 21:58:46.599 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-10-08 21:58:46.600 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-10-08 21:58:46.672 [main] INFO  com.netflix.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@6535117e
2020-10-08 21:58:52.822 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-10-08 21:58:54.147 [main] INFO  c.s.j.server.impl.application.WebApplicationImpl - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
2020-10-08 21:58:54.323 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2020-10-08 21:58:54.331 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2020-10-08 21:58:54.801 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2020-10-08 21:58:54.806 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2020-10-08 21:58:56.313 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6a96d639, org.springframework.security.web.context.SecurityContextPersistenceFilter@bb8ead8, org.springframework.security.web.header.HeaderWriterFilter@2bb31455, org.springframework.security.web.csrf.CsrfFilter@7de35070, org.springframework.security.web.authentication.logout.LogoutFilter@7bede4ea, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@74a58a06, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@684372d0, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@28e94c2, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@45984654, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6e807e2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@51fe7f15, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3d40498a, org.springframework.security.web.session.SessionManagementFilter@2e45a357, org.springframework.security.web.access.ExceptionTranslationFilter@643ecfef, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@69bc9584]
2020-10-08 21:58:56.348 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-10-08 21:58:56.348 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-10-08 21:58:56.808 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
